UnitID,Institution Name,Average salary equated to 9 months of full-time instructional staff - professors (DRVHR2016),Average salary equated to 9 months of full-time instructional staff - associate professors (DRVHR2016),Average salary equated to 9 months of full-time instructional staff - assistant professors (DRVHR2016),Average salary equated to 9 months of full-time instructional staff - professors (DRVHR2015_RV),Average salary equated to 9 months of full-time instructional staff - associate professors (DRVHR2015_RV),Average salary equated to 9 months of full-time instructional staff - assistant professors (DRVHR2015_RV),Average salary equated to 9 months of full-time instructional staff - professors (DRVHR2014_RV),Average salary equated to 9 months of full-time instructional staff - associate professors (DRVHR2014_RV),Average salary equated to 9 months of full-time instructional staff - assistant professors (DRVHR2014_RV),Average salary equated to 9 months of full-time instructional staff - professors (DRVHR2013_RV),Average salary equated to 9 months of full-time instructional staff - associate professors (DRVHR2013_RV),Average salary equated to 9 months of full-time instructional staff - assistant professors (DRVHR2013_RV),Average salary equated to 9 months of full-time instructional staff - professors (DRVHR2012_RV),Average salary equated to 9 months of full-time instructional staff - associate professors (DRVHR2012_RV),Average salary equated to 9 months of full-time instructional staff - assistant professors (DRVHR2012_RV),
104151,Arizona State University-Tempe,142485,98683,87131,141120,95886,84861,139896,94311,84816,133470,90729,81738,124857,85590,75861,
133951,Florida International University,127555,95001,85309,125415,93411,83277,119700,90414,81450,119898,89955,80901,116982,87696,76239,
232186,George Mason University,133596,89158,75484,134172,88407,74151,131625,86931,72018,132363,87507,72900,128853,84492,70290,
139940,Georgia State University,119567,81225,69852,114669,81027,67833,108756,76194,63549,97236,64647,61398,107496,71568,65052,
209807,Portland State University,103933,80447,68345,105165,80073,67779,99297,75501,61965,101466,76113,65187,96975,73854,62982,
229027,The University of Texas at San Antonio,122439,85168,75806,119853,82539,74934,118728,83241,71883,118935,83340,73098,115812,80550,72558,
110653,University of California-Irvine,165217,108971,94985,159678,102420,91323,152946,99450,86598,144792,94365,85212,139779,91773,82143,
110671,University of California-Riverside,152761,99413,88782,144963,93906,87363,136809,88884,85482,131112,84762,79893,127278,82386,77301,
110714,University of California-Santa Cruz,151599,104211,90483,145017,97812,86193,136530,94644,82908,130770,89307,81288,127269,86301,76527,
163268,University of Maryland-Baltimore County,120650,88555,76227,119754,85401,75474,118548,83493,74259,111060,76626,69543,108639,74700,67167,
209551,University of Oregon,134522,91563,83345,125199,89640,83718,123471,88551,83556,112671,82386,74952,111402,80226,76527,